Binary Search Tree				
Size	Ordered	Random	Ordered_Contains	Random_Contains
3820	0.096001487	0.001265183	0.027263161	0.000012377
3830	0.094964196	0.001211928	0.027711344	0.000013463
3840	0.101857615	0.001230548	0.028901938	0.000012595
3850	0.098177259	0.001292054	0.027925013	0.000013246
3860	0.099801271	0.001264911	0.029667367	0.000013028
3870	0.102484506	0.001299491	0.028861333	0.000013028
3880	0.10296222	0.001248897	0.028895859	0.000012595
3890	0.099900505	0.001293357	0.029055459	0.000013029
3900	0.107941958	0.001302423	0.030603036	0.000016069
3910	0.101475008	0.001234946	0.029265653	0.000017806
3920	0.100951477	0.001272783	0.029314075	0.000014331
3930	0.102191146	0.001326797	0.030140956	0.000013246
3940	0.103235386	0.001281034	0.030074945	0.000012595
3950	0.101450255	0.001492314	0.030645162	0.000020194
3960	0.105667387	0.001361594	0.030129447	0.000014331
3970	0.110075387	0.0012749	0.030609768	0.000013463
3980	0.104167364	0.001311272	0.028947756	0.000012811
3990	0.11029557	0.001266974	0.030786957	0.000013029
4000	0.106289284	0.001281143	0.030461676	0.000018023
4010	0.118677505	0.001568151	0.034204134	0.000022148
4020	0.109406804	0.001297591	0.03427818	0.000014766
4030	0.109184233	0.001395306	0.035811209	0.000014331
4040	0.109827627	0.001368489	0.031348054	0.00001368
4050	0.109547948	0.001303237	0.03246938	0.000013029
4060	0.113398977	0.001383634	0.03306826	0.000015634
4070	0.109612656	0.001349814	0.031492454	0.000013897
4080	0.113974405	0.001634054	0.032877392	0.000013897
4090	0.11158388	0.001313986	0.032154522	0.00001368
4100	0.116208589	0.001326417	0.034083837	0.000013246
4110	0.11876827	0.001324246	0.032707151	0.000013897
4120	0.110574382	0.001359966	0.032196431	0.000013897
4130	0.112865892	0.001339717	0.032802911	0.000015635
4140	0.119333927	0.001342974	0.0332157	0.000013463
4150	0.113671057	0.00135698	0.031191711	0.00001672
4160	0.113550977	0.001359803	0.033008763	0.00001368
4170	0.115389526	0.001374677	0.033195072	0.000014766
4180	0.11323764	0.001367892	0.032672842	0.000013246
4190	0.115598635	0.001357143	0.033864523	0.000014332
4200	0.115854864	0.001354211	0.033998065	0.000014331
4210	0.115432086	0.001367186	0.033669094	0.000014114
4220	0.11434116	0.001591168	0.032334968	0.000014331
4230	0.117967229	0.001455346	0.034093392	0.000013463
4240	0.118310533	0.001431406	0.034584134	0.000014332
4250	0.120095448	0.001413274	0.0354577	0.000014115
4260	0.122196305	0.001428692	0.034640157	0.000014548
4270	0.118509002	0.001418431	0.034729186	0.000014115
4280	0.118940247	0.00141968	0.033856923	0.000017371
4290	0.122926123	0.001388574	0.035103757	0.000014548
4300	0.12585538	0.001430917	0.036539506	0.000014332
4310	0.12624754	0.001481674	0.036303689	0.000015852
4320	0.123321539	0.001433197	0.036818969	0.000014549
4330	0.128388787	0.001432437	0.035802958	0.000017371
4340	0.125421746	0.001389605	0.035716317	0.000013897
4350	0.127106775	0.001552028	0.036377735	0.000017806
4360	0.126573472	0.00143488	0.036543632	0.000014548
4370	0.123978179	0.001593937	0.037902513	0.000022148
4380	0.134390182	0.001476083	0.037771793	0.000014766
4390	0.125626946	0.001439983	0.035071403	0.000014549
4400	0.126073826	0.0014345	0.03650194	0.000017806
4410	0.130971267	0.001436074	0.036899529	0.000014983
4420	0.130076856	0.001449863	0.037221335	0.0000152
4430	0.130644684	0.001450351	0.039493519	0.000016503
4440	0.135285028	0.001477983	0.038324638	0.000018457
4450	0.131410764	0.001562397	0.038178284	0.000014983
4460	0.131934296	0.001526949	0.038283381	0.000016286
4470	0.135077874	0.00146414	0.038993438	0.000014765
4480	0.133972182	0.001485311	0.038303358	0.000014983
4490	0.132231999	0.001648277	0.038567621	0.000023234
4500	0.134913062	0.001539868	0.038279039	0.0000152
4510	0.132061759	0.001494323	0.038504215	0.0000152
4520	0.138665075	0.001534169	0.042609085	0.000023885
4530	0.137402823	0.001492314	0.039207325	0.000063623
4540	0.141381098	0.001499751	0.038214112	0.0000152
4550	0.138790149	0.002252369	0.040111942	0.000016069
4560	0.1364196	0.001494052	0.040212913	0.000019543
4570	0.140504927	0.001518642	0.041638673	0.0000152
4580	0.136471932	0.001550509	0.039862879	0.000016069
4590	0.144329248	0.001561583	0.038551553	0.000018457
4600	0.138178892	0.00155344	0.040721027	0.000015417
4610	0.146261603	0.001553006	0.043166273	0.000019108
4620	0.142051853	0.00172292	0.041041747	0.000014983
4630	0.145358071	0.001535417	0.03959449	0.000015418
4640	0.148072791	0.001531291	0.041389828	0.0000152
4650	0.142769076	0.001534386	0.041158136	0.000015635
4660	0.147013785	0.001644369	0.045177017	0.000015634
4670	0.148486014	0.00155192	0.041914879	0.000020629
4680	0.148526403	0.001818028	0.042811896	0.000022149
4690	0.152183958	0.001537589	0.04310656	0.000015417
4700	0.146286574	0.001578303	0.043116331	0.000030618
4710	0.149529386	0.001567229	0.04400488	0.000016069
4720	0.144922483	0.001573363	0.041721621	0.000015851
4730	0.151329718	0.001671294	0.045581988	0.000016938
4740	0.146632699	0.001727697	0.041667119	0.000016503
4750	0.149936312	0.001543071	0.042827965	0.000015852
4760	0.156109034	0.00157624	0.043708914	0.000014982
4770	0.154571879	0.001598389	0.044108022	0.000015851
4780	0.147577923	0.001554308	0.042838822	0.000015634
4790	0.149361101	0.001737143	0.043499588	0.00001824
4800	0.15245517	0.00157016	0.04484544	0.000016069
4810	0.154591422	0.001748814	0.04617392	0.000016503
4820	0.154861114	0.001648223	0.044995051	0.000016503
4830	0.158691948	0.001600886	0.045281463	0.000016069
4840	0.151941844	0.00163058	0.043576239	0.000016938
4850	0.157625343	0.001863357	0.044691702	0.000016503
4860	0.16460931	0.001613318	0.0469248	0.000018023
4870	0.154917136	0.001643283	0.044227668	0.000015851
4880	0.162404007	0.001653489	0.046968012	0.000016502
4890	0.161625114	0.001971603	0.047166481	0.000016286
4900	0.160541354	0.001779974	0.047718675	0.000020195
4910	0.158829183	0.001679763	0.04654328	0.000016503
4920	0.160716806	0.001663369	0.04568448	0.00002128
4930	0.168179356	0.00170696	0.047975989	0.000016937
4940	0.160185241	0.001671674	0.044665428	0.000016069
4950	0.165571904	0.00170202	0.047767749	0.000016069
4960	0.168054717	0.001674714	0.048098892	0.000016069
4970	0.164830362	0.001633728	0.047951452	0.000017372
4980	0.169906729	0.001706689	0.048101715	0.000016286
4990	0.167677105	0.00172482	0.051774687	0.000017155
5000	0.168771506	0.001700174	0.047622263	0.00001824
5010	0.16569307	0.001789745	0.048106927	0.000016503
5020	0.169179517	0.001676017	0.050254686	0.000016937
5030	0.166568156	0.001679166	0.04665272	0.00001672
5040	0.166529287	0.001671295	0.050945636	0.000016937
5050	0.171451049	0.001670752	0.05062687	0.000016937
5060	0.170225711	0.001710651	0.048655863	0.000016938
5070	0.17137722	0.001780192	0.048489966	0.000017371
5080	0.172434489	0.001723355	0.048161212	0.000019325
5090	0.171927461	0.001705223	0.050539578	0.000017589
5100	0.175627141	0.001930454	0.04943975	0.000018891
5110	0.174440021	0.001721074	0.052723384	0.000018241
5120	0.178225474	0.001911943	0.052007899	0.000017154
5130	0.172615152	0.001779214	0.049959589	0.000017155
5140	0.172852706	0.001717166	0.04980455	0.000016937
