BST
Size;Add_Ordered;Add_Random;Remove_Ordered;Remove_Random;Contains_Ordered;Conrains_Random
5100;175627141;1930454;49608904;20846;49439750;18891
5110;174440021;1721074;48643920;20411;52723384;18241
5120;178225474;1911943;51193612;20411;52007899;17154
5130;172615152;1779214;49664059;20628;49959589;17155
5140;172852706;1717166;49659715;21063;49804550;16937
5150;179260159;1744472;53130093;20411;52300825;17806
5160;179536800;1732094;51240299;20412;51220538;16720
5170;184609040;1762548;49603258;20194;52586367;16937
5180;187393465;1717926;52661716;20628;55994642;17372
5190;188940607;1888328;54640322;21063;55322803;17589
5200;179081016;2202969;58152392;35177;51175590;28880
5210;186018733;2107100;55964243;31268;52599613;29314
5220;177861325;1770746;50946287;23234;50069898;17806
5230;181842857;1767652;51917785;21280;51134984;17588
5240;179718113;1752723;52443053;21280;51894551;17806
5250;182958971;1806520;54357819;20845;53421500;18892
5260;188857007;1796369;54347396;22800;54295283;17805
5270;183302709;1850600;54221888;21280;53649933;17589
5280;187610607;1741431;51967510;22582;52304299;19109
5290;194854712;1921606;55495214;32137;54685922;26275
5300;193515157;1815423;56633260;21063;55124117;17371
5310;191438402;1830514;55109351;21497;54556288;17155
5320;185040286;1867971;53758071;20846;53783259;17806
5330;181880205;1820417;52598528;21280;53160059;655121
5340;186611098;1865095;52840425;21497;53091225;17371
5350;192866552;1836269;56843020;21498;56433705;19325
5360;192449420;1840775;56580060;21497;55400322;18240
5370;187014333;1874866;53358745;34526;53226504;17806
5380;191733500;1965252;55766860;30617;54639019;27143
5390;200982485;1855974;54757145;21063;58698072;678137
5400;195308541;1839418;55990734;23234;56412643;18457
5410;195804061;1835617;58257924;24755;57275134;17805
5420;198554827;1853911;56123842;23452;56445432;17806
5430;199637502;1859286;59257215;22366;57721363;18240
5440;203546726;1847235;56098003;21932;57902677;18023
5450;208487161;1859502;58219272;21714;57967169;18023
5460;198724199;1866560;58894369;22149;58523923;19108
5470;200618553;1884691;58387123;22148;59236587;17806
5480;205338806;1965143;59917547;30617;57979763;31703
5490;198757204;1905049;56602426;22148;55275031;18240
5500;209130772;1900380;59470666;21714;60818039;18675
5510;202982806;1938163;59148860;22149;59648941;20628
5520;213514019;2177835;58775157;24103;58392986;18891
5530;207128715;1949671;59393798;21714;58916517;18675
5540;201919674;1911508;57741340;22365;57190883;17806
5550;208245046;1872043;59417250;23451;58995992;18023
5560;209237607;1895549;57384575;21932;58994689;19325
5570;211747562;1863195;63925788;22148;62920632;17806
5580;205600898;1897829;59016621;22583;59150380;18240
5590;206864018;1925515;59148210;26057;58300700;18674
5600;204031822;1927034;58174323;22148;56768106;18457
5610;222241645;1914657;63367947;24103;61166335;18023
5620;211555173;2007432;60181158;22365;60061295;18458
5630;214211917;1965523;59620712;23018;59097180;18891
5640;219568833;1921063;60823250;24320;62667010;18892
5650;212156225;1957000;62997068;22583;62596004;18457
5660;223316285;1960312;59264163;22366;59228986;18891
5670;221479038;1901955;61328758;22366;61197170;18674
5680;214579539;1936426;63092393;63840;62369742;50811
5690;211136956;2063183;63017045;35178;71152520;21062
5700;222412318;2029200;62273547;23235;63009228;23017
5710;225646445;2093800;64667548;28228;64777856;24754
5720;221218684;1994186;64710977;23017;64196564;18675
